Repeatability,Strategy,NumQueries,numCache,numSeeds,ResponseTime,numMessages
Poisson,Voting,1000,15,50,23.00,45
Poisson,Multi-agent,1000,15,50,40.91,30
Poisson,Negotiation,1000,15,50,51.59,53
Poisson,feedback,1000,15,50,48.59,28
Poisson,Master/slave,1000,15,75,41.84,15
Poisson,Voting,1000,15,75,24.21,45
Poisson,Multi-agent,1000,15,75,45.71,30
Poisson,Negotiation,1000,15,75,61.61,53
Poisson,feedback,1000,15,75,58.04,29
Poisson,Master/slave,1000,15,100,42.15,15
Poisson,Voting,1000,15,100,23.77,45
Poisson,Multi-agent,1000,15,100,45.91,30
Poisson,Negotiation,1000,15,100,67.22,52
Poisson,feedback,1000,15,100,64.24,28
Poisson,Master/slave,1000,15,150,42.99,15
Poisson,Voting,1000,15,150,23.88,45
Poisson,Multi-agent,1000,15,150,45.00,30
Poisson,Negotiation,1000,15,150,77.78,44
Poisson,feedback,1000,15,150,76.97,20
Poisson,Master/slave,1000,20,25,40.49,20
Poisson,Voting,1000,20,25,28.10,60
Poisson,Multi-agent,1000,20,25,47.15,40
Poisson,Negotiation,1000,20,25,70.85,52
Poisson,feedback,1000,20,25,66.50,17
Poisson,Master/slave,1000,20,50,56.71,20
Poisson,Voting,1000,20,50,28.01,60
Poisson,Multi-agent,1000,20,50,59.79,40
Poisson,Negotiation,1000,20,50,77.98,59
Poisson,feedback,1000,20,50,75.47,24
Poisson,Master/slave,1000,20,75,57.62,20
Poisson,Voting,1000,20,75,27.76,60
Poisson,Multi-agent,1000,20,75,59.42,40
Poisson,Negotiation,1000,20,75,91.58,54
Poisson,feedback,1000,20,75,91.60,19
Poisson,Master/slave,1000,20,100,52.84,20
Poisson,Voting,1000,20,100,28.42,60
Poisson,Multi-agent,1000,20,100,60.32,40
Poisson,Negotiation,1000,20,100,99.94,52
Poisson,feedback,1000,20,100,99.90,19
Poisson,Master/slave,1000,20,150,55.73,20
Poisson,Voting,1000,20,150,28.38,60
Poisson,Multi-agent,1000,20,150,39.14,40
Poisson,Negotiation,1000,20,150,100.05,54
Poisson,feedback,1000,20,150,99.92,20
Poisson,Master/slave,1000,25,25,39.64,25
Poisson,Voting,1000,25,25,32.86,75
Poisson,Multi-agent,1000,25,25,57.79,50
Poisson,Negotiation,1000,25,25,71.15,61
Poisson,feedback,1000,25,25,68.99,14
Poisson,Master/slave,1000,25,50,86.18,25
Poisson,Voting,1000,25,50,31.41,75
Poisson,Multi-agent,1000,25,50,82.57,50
Poisson,Negotiation,1000,25,50,115.13,64
Poisson,feedback,1000,25,50,116.16,19
Poisson,Master/slave,1000,25,75,54.70,25
Poisson,Voting,1000,25,75,31.33,75
Poisson,Multi-agent,1000,25,75,88.24,50
Poisson,Negotiation,1000,25,75,116.16,55
Poisson,feedback,1000,25,75,116.90,10
Poisson,Master/slave,1000,25,100,76.30,25
Poisson,Voting,1000,25,100,31.38,75
Poisson,Multi-agent,1000,25,100,63.54,50
Poisson,Negotiation,1000,25,100,111.98,63
Poisson,feedback,1000,25,100,112.42,18
Poisson,Master/slave,1000,25,150,71.90,25
Poisson,Voting,1000,25,150,30.43,75
Poisson,Multi-agent,1000,25,150,47.70,50
Poisson,Negotiation,1000,25,150,111.45,62
Poisson,feedback,1000,25,150,112.69,18
Poisson,Master/slave,1000,30,25,47.55,30
Poisson,Voting,1000,30,25,33.62,90
Poisson,Multi-agent,1000,30,25,93.38,60
Poisson,Negotiation,1000,30,25,114.80,72
Poisson,feedback,1000,30,25,108.66,16
Poisson,Master/slave,1000,30,50,94.62,30
Poisson,Voting,1000,30,50,35.40,90
Poisson,Multi-agent,1000,30,50,107.93,60
Poisson,Negotiation,1000,30,50,138.35,64
Poisson,feedback,1000,30,50,140.09,9
Poisson,Master/slave,1000,30,75,83.60,30
Poisson,Voting,1000,30,75,34.64,90
Poisson,Multi-agent,1000,30,75,73.12,60
Poisson,Negotiation,1000,30,75,133.15,67
Poisson,feedback,1000,30,75,137.52,14
Poisson,Master/slave,1000,30,100,70.24,30
Poisson,Voting,1000,30,100,34.45,90
Poisson,Multi-agent,1000,30,100,73.93,60
Poisson,Negotiation,1000,30,100,133.57,68
Poisson,feedback,1000,30,100,137.07,14
Poisson,Master/slave,1000,30,150,69.95,30
Poisson,Voting,1000,30,150,34.70,90
Poisson,Multi-agent,1000,30,150,37.63,60
Poisson,Negotiation,1000,30,150,100.00,60
Poisson,feedback,1000,30,150,100.00,2
Poisson,Master/slave,2000,6,25,19.27,6
Poisson,Voting,2000,6,25,14.16,18
Poisson,Multi-agent,2000,6,25,14.50,12
Poisson,Negotiation,2000,6,25,15.15,24
Poisson,feedback,2000,6,25,15.18,19
Poisson,Master/slave,2000,6,50,19.47,6
Poisson,Voting,2000,6,50,14.27,18
Poisson,Multi-agent,2000,6,50,14.52,12
Poisson,Negotiation,2000,6,50,16.89,36
Poisson,feedback,2000,6,50,16.26,37
Poisson,Master/slave,2000,6,75,19.49,6
Poisson,Voting,2000,6,75,14.59,18
Poisson,Multi-agent,2000,6,75,14.84,12
Poisson,Negotiation,2000,6,75,18.82,27
Poisson,feedback,2000,6,75,18.31,23
Poisson,Master/slave,2000,6,100,19.67,6
Poisson,Voting,2000,6,100,14.47,18
Poisson,Multi-agent,2000,6,100,15.16,12
Poisson,Negotiation,2000,6,100,19.53,33
Poisson,feedback,2000,6,100,19.15,30
Poisson,Master/slave,2000,6,150,19.44,6
Poisson,Voting,2000,6,150,14.44,18
Poisson,Multi-agent,2000,6,150,14.94,12
Poisson,Negotiation,2000,6,150,20.04,42
Poisson,feedback,2000,6,150,19.12,36
Poisson,Master/slave,2000,12,25,37.97,12
Poisson,Voting,2000,12,25,21.13,36
Poisson,Multi-agent,2000,12,25,22.39,24
Poisson,Negotiation,2000,12,25,24.25,40
Poisson,feedback,2000,12,25,24.66,19
Poisson,Master/slave,2000,12,50,35.61,12
Poisson,Voting,2000,12,50,20.86,36
Poisson,Multi-agent,2000,12,50,24.14,24
Poisson,Negotiation,2000,12,50,28.06,46
Poisson,feedback,2000,12,50,27.22,28
Poisson,Master/slave,2000,12,75,34.87,12
Poisson,Voting,2000,12,75,21.06,36
Poisson,Multi-agent,2000,12,75,24.88,24
Poisson,Negotiation,2000,12,75,30.24,45
Poisson,feedback,2000,12,75,29.76,27
Poisson,Master/slave,2000,12,100,35.14,12
Poisson,Voting,2000,12,100,21.29,36
Poisson,Multi-agent,2000,12,100,26.05,24
Poisson,Negotiation,2000,12,100,33.19,54
Poisson,feedback,2000,12,100,31.82,37
Poisson,Master/slave,2000,12,150,35.02,12
Poisson,Voting,2000,12,150,21.13,36
Poisson,Multi-agent,2000,12,150,26.78,24
Poisson,Negotiation,2000,12,150,35.33,62
Poisson,feedback,2000,12,150,32.76,44
Poisson,Master/slave,2000,15,25,45.91,15
Poisson,Voting,2000,15,25,22.67,45
Poisson,Multi-agent,2000,15,25,25.22,30
Poisson,Negotiation,2000,15,25,26.46,50
Poisson,feedback,2000,15,25,27.53,26
Poisson,Master/slave,2000,15,50,41.06,15
Poisson,Voting,2000,15,50,22.83,45
Poisson,Multi-agent,2000,15,50,28.19,30
Poisson,Negotiation,2000,15,50,32.84,58
Poisson,feedback,2000,15,50,30.98,34
Poisson,Master/slave,2000,15,75,41.42,15
Poisson,Voting,2000,15,75,23.32,45
Poisson,Multi-agent,2000,15,75,28.67,30
Poisson,Negotiation,2000,15,75,35.22,56
Poisson,feedback,2000,15,75,32.82,31
Poisson,Master/slave,2000,15,100,42.21,15
Poisson,Voting,2000,15,100,23.60,45
Poisson,Multi-agent,2000,15,100,30.73,30
Poisson,Negotiation,2000,15,100,39.79,64
Poisson,feedback,2000,15,100,36.50,39
Poisson,Master/slave,2000,15,150,42.64,15
Poisson,Voting,2000,15,150,23.80,45
Poisson,Multi-agent,2000,15,150,36.52,30
Poisson,Negotiation,2000,15,150,43.80,72
Poisson,feedback,2000,15,150,39.65,49
Poisson,Master/slave,2000,20,25,41.08,20
Poisson,Voting,2000,20,25,28.53,60
Poisson,Multi-agent,2000,20,25,36.98,40
Poisson,Negotiation,2000,20,25,36.95,58
Poisson,feedback,2000,20,25,37.22,24
Poisson,Master/slave,2000,20,50,55.90,20
Poisson,Voting,2000,20,50,27.43,60
Poisson,Multi-agent,2000,20,50,42.65,40
Poisson,Negotiation,2000,20,50,47.13,62
Poisson,feedback,2000,20,50,45.50,29
Poisson,Master/slave,2000,20,75,57.82,20
Poisson,Voting,2000,20,75,27.48,60
Poisson,Multi-agent,2000,20,75,44.58,40
Poisson,Negotiation,2000,20,75,54.45,73
Poisson,feedback,2000,20,75,52.59,39
Poisson,Master/slave,2000,20,100,53.06,20
Poisson,Voting,2000,20,100,27.54,60
Poisson,Multi-agent,2000,20,100,52.29,40
Poisson,Negotiation,2000,20,100,61.95,69
Poisson,feedback,2000,20,100,59.05,35
Poisson,Master/slave,2000,20,150,54.99,20
Poisson,Voting,2000,20,150,28.41,60
Poisson,Multi-agent,2000,20,150,56.78,40
Poisson,Negotiation,2000,20,150,68.50,73
Poisson,feedback,2000,20,150,65.38,38
Poisson,Master/slave,2000,25,25,39.69,25
Poisson,Voting,2000,25,25,29.34,75
Poisson,Multi-agent,2000,25,25,47.96,50
Poisson,Negotiation,2000,25,25,50.71,65
Poisson,feedback,2000,25,25,50.03,21
Poisson,Master/slave,2000,25,50,87.20,25
Poisson,Voting,2000,25,50,30.57,75
Poisson,Multi-agent,2000,25,50,54.73,50
Poisson,Negotiation,2000,25,50,58.57,73
Poisson,feedback,2000,25,50,57.77,28
Poisson,Master/slave,2000,25,75,54.35,25
Poisson,Voting,2000,25,75,30.64,75
Poisson,Multi-agent,2000,25,75,62.66,50
Poisson,Negotiation,2000,25,75,76.53,78
Poisson,feedback,2000,25,75,74.42,33
Poisson,Master/slave,2000,25,100,76.49,25
Poisson,Voting,2000,25,100,30.48,75
Poisson,Multi-agent,2000,25,100,69.78,50
Poisson,Negotiation,2000,25,100,93.59,79
Poisson,feedback,2000,25,100,88.56,35
Poisson,Master/slave,2000,25,150,71.64,25
Poisson,Voting,2000,25,150,30.14,75
Poisson,Multi-agent,2000,25,150,77.06,50
Poisson,Negotiation,2000,25,150,117.13,76
Poisson,feedback,2000,25,150,117.95,34
Poisson,Master/slave,2000,30,25,48.23,30
Poisson,Voting,2000,30,25,33.72,90
Poisson,Multi-agent,2000,30,25,69.66,60
Poisson,Negotiation,2000,30,25,76.72,80
Poisson,feedback,2000,30,25,74.61,23
Poisson,Master/slave,2000,30,50,93.94,30
Poisson,Voting,2000,30,50,32.80,90
Poisson,Multi-agent,2000,30,50,79.40,60
Poisson,Negotiation,2000,30,50,86.55,85
Poisson,feedback,2000,30,50,81.78,32
Poisson,Master/slave,2000,30,75,83.43,30
Poisson,Voting,2000,30,75,33.45,90
Poisson,Multi-agent,2000,30,75,82.54,60
Poisson,Negotiation,2000,30,75,106.95,88
Poisson,feedback,2000,30,75,102.15,32
Poisson,Master/slave,2000,30,100,71.05,30
Poisson,Voting,2000,30,100,33.14,90
Poisson,Multi-agent,2000,30,100,99.41,60
Poisson,Negotiation,2000,30,100,116.59,91
Poisson,feedback,2000,30,100,118.43,34
Poisson,Master/slave,2000,30,150,70.53,30
Poisson,Voting,2000,30,150,33.40,90
Poisson,Multi-agent,2000,30,150,111.15,60
Poisson,Negotiation,2000,30,150,139.33,73
Poisson,feedback,2000,30,150,140.58,19
Poisson,Master/slave,5000,6,25,19.47,6
Poisson,Voting,5000,6,25,14.02,18
Poisson,Multi-agent,5000,6,25,14.09,12
Poisson,Negotiation,5000,6,25,14.51,26
Poisson,feedback,5000,6,25,14.32,17
Poisson,Master/slave,5000,6,50,19.44,6
Poisson,Voting,5000,6,50,14.19,18
Poisson,Multi-agent,5000,6,50,14.32,12
Poisson,Negotiation,5000,6,50,14.83,28
Poisson,feedback,5000,6,50,14.62,25
Poisson,Master/slave,5000,6,75,19.46,6
Poisson,Voting,5000,6,75,14.19,18
Poisson,Multi-agent,5000,6,75,14.40,12
Poisson,Negotiation,5000,6,75,15.40,45
Poisson,feedback,5000,6,75,15.15,41
Poisson,Master/slave,5000,6,100,19.49,6
Poisson,Voting,5000,6,100,14.33,18
Poisson,Multi-agent,5000,6,100,14.44,12
Poisson,Negotiation,5000,6,100,16.24,38
Poisson,feedback,5000,6,100,15.91,32
Poisson,Master/slave,5000,6,150,19.46,6
Poisson,Voting,5000,6,150,14.24,18
Poisson,Multi-agent,5000,6,150,14.53,12
Poisson,Negotiation,5000,6,150,16.05,47
Poisson,feedback,5000,6,150,15.95,46
Poisson,Master/slave,5000,12,25,38.33,12
Poisson,Voting,5000,12,25,20.65,36
Poisson,Multi-agent,5000,12,25,20.93,24
Poisson,Negotiation,5000,12,25,21.67,46
Poisson,feedback,5000,12,25,21.66,29
Poisson,Master/slave,5000,12,50,35.66,12
Poisson,Voting,5000,12,50,20.52,36
Poisson,Multi-agent,5000,12,50,20.99,24
Poisson,Negotiation,5000,12,50,21.99,50
Poisson,feedback,5000,12,50,21.77,37
Poisson,Master/slave,5000,12,75,35.04,12
Poisson,Voting,5000,12,75,20.81,36
Poisson,Multi-agent,5000,12,75,21.46,24
Poisson,Negotiation,5000,12,75,22.25,44
Poisson,feedback,5000,12,75,21.81,37
Poisson,Master/slave,5000,12,100,34.97,12
Poisson,Voting,5000,12,100,20.75,36
Poisson,Multi-agent,5000,12,100,21.96,24
Poisson,Negotiation,5000,12,100,23.26,58
Poisson,feedback,5000,12,100,23.04,42
Poisson,Master/slave,5000,12,150,34.93,12
Poisson,Voting,5000,12,150,20.84,36
Poisson,Multi-agent,5000,12,150,22.66,24
Poisson,Negotiation,5000,12,150,24.25,70
Poisson,feedback,5000,12,150,24.76,60
Poisson,Master/slave,5000,15,25,45.58,15
Poisson,Voting,5000,15,25,23.13,45
Poisson,Multi-agent,5000,15,25,24.00,30
Poisson,Negotiation,5000,15,25,23.60,47
Poisson,feedback,5000,15,25,23.55,25
Poisson,Master/slave,5000,15,50,41.05,15
Poisson,Voting,5000,15,50,22.69,45
Poisson,Multi-agent,5000,15,50,23.89,30
Poisson,Negotiation,5000,15,50,25.21,47
Poisson,feedback,5000,15,50,25.09,22
Poisson,Master/slave,5000,15,75,41.47,15
Poisson,Voting,5000,15,75,22.35,45
Poisson,Multi-agent,5000,15,75,23.00,30
Poisson,Negotiation,5000,15,75,25.07,61
Poisson,feedback,5000,15,75,24.76,41
Poisson,Master/slave,5000,15,100,42.38,15
Poisson,Voting,5000,15,100,23.14,45
Poisson,Multi-agent,5000,15,100,24.92,30
Poisson,Negotiation,5000,15,100,27.32,59
Poisson,feedback,5000,15,100,26.91,39
Poisson,Master/slave,5000,15,150,42.59,15
Poisson,Voting,5000,15,150,22.95,45
Poisson,Multi-agent,5000,15,150,25.94,30
Poisson,Negotiation,5000,15,150,28.32,68
Poisson,feedback,5000,15,150,27.51,52
Poisson,Master/slave,5000,20,25,40.55,20
Poisson,Voting,5000,20,25,26.71,60
Poisson,Multi-agent,5000,20,25,29.38,40
Poisson,Negotiation,5000,20,25,29.15,57
Poisson,feedback,5000,20,25,30.40,23
Poisson,Master/slave,5000,20,50,56.63,20
Poisson,Voting,5000,20,50,26.87,60
Poisson,Multi-agent,5000,20,50,29.48,40
Poisson,Negotiation,5000,20,50,30.06,63
Poisson,feedback,5000,20,50,30.48,35
Poisson,Master/slave,5000,20,75,57.92,20
Poisson,Voting,5000,20,75,27.63,60
Poisson,Multi-agent,5000,20,75,32.53,40
Poisson,Negotiation,5000,20,75,32.77,70
Poisson,feedback,5000,20,75,32.39,41
Poisson,Master/slave,5000,20,100,52.58,20
Poisson,Voting,5000,20,100,27.11,60
Poisson,Multi-agent,5000,20,100,31.79,40
Poisson,Negotiation,5000,20,100,34.85,79
Poisson,feedback,5000,20,100,34.82,52
Poisson,Master/slave,5000,20,150,54.95,20
Poisson,Voting,5000,20,150,27.01,60
Poisson,Multi-agent,5000,20,150,34.54,40
Poisson,Negotiation,5000,20,150,37.40,77
Poisson,feedback,5000,20,150,37.03,50
Poisson,Master/slave,5000,25,25,39.19,25
Poisson,Voting,5000,25,25,29.75,75
Poisson,Multi-agent,5000,25,25,32.93,50
Poisson,Negotiation,5000,25,25,32.97,72
Poisson,feedback,5000,25,25,34.70,31
Poisson,Master/slave,5000,25,50,87.33,25
Poisson,Voting,5000,25,50,29.64,75
Poisson,Multi-agent,5000,25,50,35.99,50
Poisson,Negotiation,5000,25,50,35.27,81
Poisson,feedback,5000,25,50,35.78,40
Poisson,Master/slave,5000,25,75,54.42,25
Poisson,Voting,5000,25,75,29.44,75
Poisson,Multi-agent,5000,25,75,37.61,50
Poisson,Negotiation,5000,25,75,38.27,74
Poisson,feedback,5000,25,75,39.32,35
Poisson,Master/slave,5000,25,100,76.37,25
Poisson,Voting,5000,25,100,30.56,75
Poisson,Multi-agent,5000,25,100,40.57,50
Poisson,Negotiation,5000,25,100,44.61,79
Poisson,feedback,5000,25,100,45.64,42
Poisson,Master/slave,5000,25,150,71.64,25
Poisson,Voting,5000,25,150,30.40,75
Poisson,Multi-agent,5000,25,150,45.36,50
Poisson,Negotiation,5000,25,150,48.19,92
Poisson,feedback,5000,25,150,48.18,58
Poisson,Master/slave,5000,30,25,48.23,30
Poisson,Voting,5000,30,25,32.25,90
Poisson,Multi-agent,5000,30,25,41.43,60
Poisson,Negotiation,5000,30,25,39.97,81
Poisson,feedback,5000,30,25,42.41,29
Poisson,Master/slave,5000,30,50,94.46,30
Poisson,Voting,5000,30,50,32.90,90
Poisson,Multi-agent,5000,30,50,48.31,60
Poisson,Negotiation,5000,30,50,49.13,93
Poisson,feedback,5000,30,50,51.53,40
Poisson,Master/slave,5000,30,75,83.65,30
Poisson,Voting,5000,30,75,33.21,90
Poisson,Multi-agent,5000,30,75,49.95,60
Poisson,Negotiation,5000,30,75,53.62,94
Poisson,feedback,5000,30,75,53.13,42
Poisson,Master/slave,5000,30,100,70.96,30
Poisson,Voting,5000,30,100,33.29,90
Poisson,Multi-agent,5000,30,100,56.43,60
Poisson,Negotiation,5000,30,100,65.09,98
Poisson,feedback,5000,30,100,64.48,47
Poisson,Master/slave,5000,30,150,70.50,30
Poisson,Voting,5000,30,150,33.87,90
Poisson,Multi-agent,5000,30,150,63.37,60
Poisson,Negotiation,5000,30,150,74.04,109
Poisson,feedback,5000,30,150,73.19,57
Poisson,Master/slave,7000,6,25,19.50,6
Poisson,Voting,7000,6,25,14.44,18
Poisson,Multi-agent,7000,6,25,14.50,12
Poisson,Negotiation,7000,6,25,14.64,22
Poisson,feedback,7000,6,25,14.55,15
Poisson,Master/slave,7000,6,50,19.49,6
Poisson,Voting,7000,6,50,14.45,18
Poisson,Multi-agent,7000,6,50,14.42,12
Poisson,Negotiation,7000,6,50,15.24,25
Poisson,feedback,7000,6,50,15.23,14
Poisson,Master/slave,7000,6,75,19.38,6
Poisson,Voting,7000,6,75,14.16,18
Poisson,Multi-agent,7000,6,75,14.24,12
Poisson,Negotiation,7000,6,75,15.42,46
Poisson,feedback,7000,6,75,15.27,39
Poisson,Master/slave,7000,6,100,19.51,6
Poisson,Voting,7000,6,100,14.33,18
Poisson,Multi-agent,7000,6,100,14.41,12
Poisson,Negotiation,7000,6,100,16.14,41
Poisson,feedback,7000,6,100,15.66,37
Poisson,Master/slave,7000,6,150,19.48,6
Poisson,Voting,7000,6,150,14.17,18
Poisson,Multi-agent,7000,6,150,14.30,12
Poisson,Negotiation,7000,6,150,15.41,65
Poisson,feedback,7000,6,150,15.25,65
Poisson,Master/slave,7000,12,25,38.37,12
Poisson,Voting,7000,12,25,20.60,36
Poisson,Multi-agent,7000,12,25,20.97,24
Poisson,Negotiation,7000,12,25,21.10,40
Poisson,feedback,7000,12,25,21.05,19
Poisson,Master/slave,7000,12,50,35.54,12
Poisson,Voting,7000,12,50,20.80,36
Poisson,Multi-agent,7000,12,50,21.49,24
Poisson,Negotiation,7000,12,50,21.48,58
Poisson,feedback,7000,12,50,21.30,44
Poisson,Master/slave,7000,12,75,35.29,12
Poisson,Voting,7000,12,75,20.44,36
Poisson,Multi-agent,7000,12,75,21.21,24
Poisson,Negotiation,7000,12,75,21.59,47
Poisson,feedback,7000,12,75,21.25,28
Poisson,Master/slave,7000,12,100,35.00,12
Poisson,Voting,7000,12,100,20.56,36
Poisson,Multi-agent,7000,12,100,21.14,24
Poisson,Negotiation,7000,12,100,22.11,57
Poisson,feedback,7000,12,100,21.89,47
Poisson,Master/slave,7000,12,150,35.08,12
Poisson,Voting,7000,12,150,20.72,36
Poisson,Multi-agent,7000,12,150,21.48,24
Poisson,Negotiation,7000,12,150,23.14,58
Poisson,feedback,7000,12,150,22.75,44
Poisson,Master/slave,7000,15,25,45.61,15
Poisson,Voting,7000,15,25,22.67,45
Poisson,Multi-agent,7000,15,25,23.40,30
Poisson,Negotiation,7000,15,25,23.15,46
Poisson,feedback,7000,15,25,23.11,21
Poisson,Master/slave,7000,15,50,40.91,15
Poisson,Voting,7000,15,50,22.49,45
Poisson,Multi-agent,7000,15,50,23.56,30
Poisson,Negotiation,7000,15,50,24.07,56
Poisson,feedback,7000,15,50,23.67,32
Poisson,Master/slave,7000,15,75,41.59,15
Poisson,Voting,7000,15,75,22.77,45
Poisson,Multi-agent,7000,15,75,23.64,30
Poisson,Negotiation,7000,15,75,24.60,63
Poisson,feedback,7000,15,75,24.53,43
Poisson,Master/slave,7000,15,100,42.19,15
Poisson,Voting,7000,15,100,22.70,45
Poisson,Multi-agent,7000,15,100,23.88,30
Poisson,Negotiation,7000,15,100,25.26,64
Poisson,feedback,7000,15,100,24.98,41
Poisson,Master/slave,7000,15,150,42.44,15
Poisson,Voting,7000,15,150,23.07,45
Poisson,Multi-agent,7000,15,150,24.59,30
Poisson,Negotiation,7000,15,150,26.27,69
Poisson,feedback,7000,15,150,25.89,48
Poisson,Master/slave,7000,20,25,40.66,20
Poisson,Voting,7000,20,25,26.93,60
Poisson,Multi-agent,7000,20,25,28.55,40
Poisson,Negotiation,7000,20,25,28.80,59
Poisson,feedback,7000,20,25,29.23,27
Poisson,Master/slave,7000,20,50,56.40,20
Poisson,Voting,7000,20,50,26.61,60
Poisson,Multi-agent,7000,20,50,29.68,40
Poisson,Negotiation,7000,20,50,29.53,62
Poisson,feedback,7000,20,50,29.39,30
Poisson,Master/slave,7000,20,75,57.20,20
Poisson,Voting,7000,20,75,26.89,60
Poisson,Multi-agent,7000,20,75,29.48,40
Poisson,Negotiation,7000,20,75,31.10,79
Poisson,feedback,7000,20,75,31.32,46
Poisson,Master/slave,7000,20,100,52.40,20
Poisson,Voting,7000,20,100,26.70,60
Poisson,Multi-agent,7000,20,100,29.95,40
Poisson,Negotiation,7000,20,100,31.08,73
Poisson,feedback,7000,20,100,31.09,45
Poisson,Master/slave,7000,20,150,55.16,20
Poisson,Voting,7000,20,150,27.52,60
Poisson,Multi-agent,7000,20,150,32.13,40
Poisson,Negotiation,7000,20,150,34.47,88
Poisson,feedback,7000,20,150,35.28,61
Poisson,Master/slave,7000,25,25,39.65,25
Poisson,Voting,7000,25,25,29.39,75
Poisson,Multi-agent,7000,25,25,31.08,50
Poisson,Negotiation,7000,25,25,31.84,70
Poisson,feedback,7000,25,25,32.99,25
Poisson,Master/slave,7000,25,50,87.08,25
Poisson,Voting,7000,25,50,28.93,75
Poisson,Multi-agent,7000,25,50,33.28,50
Poisson,Negotiation,7000,25,50,33.12,79
Poisson,feedback,7000,25,50,32.76,36
Poisson,Master/slave,7000,25,75,54.64,25
Poisson,Voting,7000,25,75,29.47,75
Poisson,Multi-agent,7000,25,75,36.85,50
Poisson,Negotiation,7000,25,75,37.59,84
Poisson,feedback,7000,25,75,37.47,42
Poisson,Master/slave,7000,25,100,75.76,25
Poisson,Voting,7000,25,100,29.77,75
Poisson,Multi-agent,7000,25,100,36.31,50
Poisson,Negotiation,7000,25,100,37.50,80
Poisson,feedback,7000,25,100,38.51,40
Poisson,Master/slave,7000,25,150,71.03,25
Poisson,Voting,7000,25,150,29.54,75
Poisson,Multi-agent,7000,25,150,38.40,50
Poisson,Negotiation,7000,25,150,40.24,102
Poisson,feedback,7000,25,150,40.86,67
Poisson,Master/slave,7000,30,25,48.34,30
Poisson,Voting,7000,30,25,32.60,90
Poisson,Multi-agent,7000,30,25,37.68,60
Poisson,Negotiation,7000,30,25,36.38,83
Poisson,feedback,7000,30,25,38.73,31
Poisson,Master/slave,7000,30,50,94.21,30
Poisson,Voting,7000,30,50,33.16,90
Poisson,Multi-agent,7000,30,50,40.38,60
Poisson,Negotiation,7000,30,50,40.39,94
Poisson,feedback,7000,30,50,40.52,42
Poisson,Master/slave,7000,30,75,83.42,30
Poisson,Voting,7000,30,75,32.90,90
Poisson,Multi-agent,7000,30,75,46.04,60
Poisson,Negotiation,7000,30,75,46.50,92
Poisson,feedback,7000,30,75,47.82,45
Poisson,Master/slave,7000,30,100,70.64,30
Poisson,Voting,7000,30,100,33.20,90
Poisson,Multi-agent,7000,30,100,46.99,60
Poisson,Negotiation,7000,30,100,49.10,95
