0,5,10
181,2,7
182,2,15
183,2,13
184,4,14
185,2,15
186,1,14
187,1,13
188,5,12
189,4,9
190,2,15
191,2,14
192,2,15
193,2,16
194,3,12
195,3,6
196,4,21
197,5,10
198,4,15
199,1,16
200,1,10
201,3,14
202,2,17
203,1,8
204,2,16
205,2,12
206,0,7
207,4,15
208,2,7
209,3,19
210,5,11
211,3,15
212,1,16
213,5,12
214,4,17
215,2,11
216,5,10
217,4,12
218,1,10
219,3,16
220,2,8
221,0,11
222,4,9
223,0,12
224,4,7
225,3,12
226,4,14
227,5,10
228,4,11
229,1,8
230,1,8
231,1,8
232,3,12
233,4,9
234,2,9
235,4,8
236,3,17
237,1,16
238,1,13
239,2,13
240,3,13
241,1,13
242,3,13
243,1,16
244,3,12
245,1,13
246,2,4
247,2,8
248,0,9
249,3,12
250,5,15
251,3,13
252,2,15
253,0,12
254,4,15
255,4,8
256,4,16
257,1,12
258,0,13
259,0,16
260,5,11
261,2,12
262,1,12
263,3,11
264,1,10
265,5,12
266,0,17
267,3,12
268,1,15
269,2,19
270,3,12
271,2,19
272,2,8
273,4,6
274,2,9
275,3,12
276,3,9
277,1,9
278,2,9
279,5,9
280,0,13
281,4,12
282,3,16
283,5,13
284,4,12
285,1,11
286,0,10
287,3,11
288,5,8
289,2,17
290,2,19
291,4,13
292,2,15
293,1,15
294,5,13
295,4,15
296,4,8
297,3,11
298,2,13
299,5,16
300,4,13
301,3,16
302,5,8
303,2,8
304,3,12
305,3,9
306,0,16
307,0,9
308,3,8
309,2,16
310,3,7
311,2,18
312,5,12
313,1,7
314,2,6
315,1,15
316,2,13
317,2,11
318,5,13
319,3,7
320,1,15
321,4,17
322,2,18
323,2,9
324,5,3
325,5,7
326,1,9
327,2,9
328,2,11
329,1,12
330,2,12
331,2,8
332,4,15
333,0,16
334,2,11
335,1,11
336,2,8
337,3,11
338,3,15
339,2,15
340,1,7
341,2,13
342,3,6
343,2,10
344,0,14
345,3,18
346,4,14
347,1,18
348,0,11
349,4,9
350,3,13
351,3,14
352,5,19
353,2,20
354,1,14
355,4,14
356,4,11
357,4,14
358,4,12
359,2,8
360,3,11
361,2,8
362,2,13
363,2,12
364,3,3
365,4,9
366,3,7
367,5,10
368,3,8
369,2,12
370,1,8
371,5,10
372,4,10
373,3,8
374,1,11
375,1,8
376,5,9
377,4,17
378,1,19
379,2,13
380,5,9
381,2,14
382,4,9
383,2,11
384,1,21
385,2,19
386,4,10
387,5,17
388,1,14
389,4,10
390,1,13
391,4,11
392,1,15
393,2,9
394,2,13
395,3,12
396,4,8
397,2,13
398,3,10
399,3,10
400,4,13
401,2,14
402,4,17
403,2,12
404,2,13
405,2,19
406,4,8
407,4,15
408,4,10
409,3,15
410,3,8
411,1,9
412,3,13
413,4,15
414,3,13
415,3,12
416,4,16
417,3,17
418,3,13
419,4,17
420,4,14
421,4,11
422,4,15
423,2,10
424,4,5
425,4,8
426,5,14
427,1,13
428,0,11
429,1,12
430,0,18
431,1,11
432,2,11
433,4,12
434,3,15
435,3,20
436,0,14
437,3,4
438,3,11
439,5,14
440,5,10
441,4,9
442,2,15
443,5,7
444,2,11
445,2,12
446,4,10
447,3,13
448,5,18
449,3,9
450,3,8
451,3,17
452,4,8
453,3,16
454,3,10
455,3,15
456,3,18
457,3,13
458,1,13
459,1,15
460,1,14
461,3,15
462,2,6
463,4,14
464,4,13
465,3,8
466,1,10
467,0,17
468,4,12
469,4,17
470,4,7
471,3,15
472,3,13
473,3,16
474,3,14
475,3,12
476,5,11
477,3,11
478,3,11
479,2,16
480,2,9
481,3,17
482,2,11
483,5,17
484,3,8
485,4,19
486,5,13
487,1,11
488,0,7
489,3,10
490,3,10
491,3,18
492,1,13
493,4,12
494,1,20
495,3,9
496,3,9
497,3,15
498,4,10
499,2,16
500,3,13
501,5,14
502,1,10
503,4,14
504,3,17
505,2,7
506,3,8
507,1,14
508,2,14
509,0,15
510,3,6
511,3,11
512,2,15
513,4,22
514,2,7
515,5,9
516,3,10
517,5,12
518,2,14
519,5,8
520,4,9
521,4,17
522,4,11
523,4,18
524,4,10
525,3,23
526,3,13
527,5,10
528,2,8
529,4,14
530,2,14
531,5,10
532,5,17
533,4,14
534,3,13
535,4,11
536,5,7
537,3,12
538,2,10
539,4,16
540,2,15
541,1,10
542,4,17
543,3,12
544,0,19
545,2,17
546,4,7
547,3,9
548,4,9
549,3,17
550,3,10
551,2,20
552,5,12
553,3,13
554,4,8
555,5,10
556,1,15
557,2,12
558,3,15
559,2,11
560,1,10
561,5,19
562,4,14
563,5,11
564,4,9
565,1,13
566,1,11
567,1,15
568,2,11
569,4,12
570,2,18
571,2,9
572,1,22
573,2,13
574,0,11
575,2,10
576,2,6
577,2,16
578,2,6
579,2,16
580,5,8
581,1,16
582,4,12
583,5,12
584,4,5
585,2,10
586,5,9
587,2,14
588,1,16
589,4,9
590,4,12
591,2,16
592,2,16
593,5,8
594,1,16
595,2,9
596,4,15
597,4,11
598,4,13
599,3,7
600,2,14
601,3,10
602,4,10
603,5,20
604,5,13
605,2,7
606,3,10
607,3,7
608,3,13
609,3,13
610,2,15
611,3,7
612,1,11
613,2,16
614,0,9
615,4,10
616,3,16
617,3,12
618,4,13
619,1,7
620,5,9
621,4,11
622,2,12
623,3,12
624,4,17
625,5,14
626,2,13
627,3,8
628,1,12
629,1,8
630,2,10
631,1,16
632,3,12
633,4,12
634,3,14
635,3,13
636,3,11
637,0,11
638,1,12
639,3,17
640,1,10
641,0,12
642,4,7
643,0,9
644,2,11
645,4,3
646,3,12
647,2,8
648,3,11
649,0,8
650,1,16
651,3,15
652,2,12
653,5,20
654,2,8
655,3,11
656,2,11
657,2,14
658,4,12
659,2,8
660,3,15
661,2,12
662,4,16
663,3,7
664,5,13
665,2,17
666,1,15
667,1,14
668,4,17
669,5,11
670,2,14
671,2,15
672,5,16
673,2,7
674,3,14
675,3,11
676,4,12
677,4,5
678,4,21
679,3,14
680,1,13
681,3,10
682,3,12
683,3,11
684,4,17
685,4,11
686,0,8
687,2,8
688,2,12
689,3,9
690,2,12
691,4,14
692,4,19
693,2,13
694,2,14
695,2,7
696,3,7
697,4,14
698,2,6
699,4,11
700,3,5
701,4,10
702,4,12
703,3,12
704,2,15
705,4,12
706,2,7
707,3,13
708,1,15
709,2,10
710,5,9
711,5,8
712,4,14
713,4,16
714,1,16
715,1,9
716,2,11
717,3,9
718,1,14
719,2,13
720,3,8
721,3,10
722,0,16
723,3,9
724,4,14
725,1,12
726,3,8
727,3,8
728,2,15
729,4,10
730,0,9
731,0,16
732,3,10
733,3,11
734,3,10
735,3,13
736,2,7
737,3,8
738,4,10
739,5,7
740,2,11
741,2,8
742,3,12
743,4,5
744,3,11
745,5,13
746,4,9
747,4,12
748,2,16
749,5,6
750,1,17
751,1,16
752,3,10
753,1,15
754,4,6
755,2,9
756,1,7
757,3,13
758,3,12
759,3,13
760,2,15
761,2,10
762,4,8
763,3,15
764,4,12
765,2,12
766,2,11
767,4,10
768,3,15
769,3,9
770,4,12
771,3,15
772,4,12
773,1,12
774,2,6
775,4,14
776,3,12
777,2,12
778,2,12
779,3,12
780,5,13
781,2,8
782,3,17
783,3,12
784,2,19
785,0,14
786,1,11
787,1,17
788,4,13
789,2,14
790,5,15
791,2,10
792,1,12
793,4,12
794,1,18
795,3,10
796,1,9
797,1,14
798,3,7
799,2,14
800,3,11
801,3,16
802,2,11
803,4,7
804,3,14
805,2,13
806,1,11
807,3,14
808,4,7
809,1,11
810,3,9
811,1,14
812,1,14
813,3,16
814,1,15
815,0,14
816,5,19
817,2,13
818,3,19
819,3,11
820,3,6
821,4,14
822,3,10
823,2,15
824,3,10
825,5,12
826,5,10
827,3,7
828,0,14
829,0,14
830,2,14
831,4,13
832,4,13
833,1,8
834,4,8
835,2,11
836,3,14
837,4,15
838,1,12
839,1,10
840,1,14
841,0,18
842,2,11
843,1,17
844,2,23
845,2,12
846,1,13
847,2,11
848,4,13
849,2,11
850,1,11
851,3,14
852,2,11
853,4,15
854,3,9
855,5,8
856,3,13
857,4,12
858,3,14
859,2,10
860,5,13
861,3,6
862,2,14
863,1,11
864,2,9
865,2,5
866,1,9
867,4,4
868,2,14
869,4,4
870,3,16
871,1,14
872,4,7
873,2,14
874,2,14
875,2,6
876,1,8
877,5,21
878,3,7
879,3,8
880,3,19
881,3,11
882,2,15
883,0,15
884,3,15
885,0,13
886,5,11
887,2,12
888,2,9
889,0,12
890,5,16
891,2,10
892,2,18
893,2,8
894,4,10
895,4,10
896,2,15
897,3,8
898,1,15
899,4,12
900,5,21
901,3,17
902,4,12
903,3,13
904,4,9
905,4,9
906,1,16
907,0,11
908,1,16
909,4,20
910,0,9
911,5,16
912,1,11
913,4,16
914,1,14
915,5,19
916,5,12
917,1,9
918,2,13
919,5,6
920,3,8
921,5,15
922,1,10
923,3,19
924,3,11
925,2,18
926,5,3
927,3,21
928,3,16
929,4,15
930,3,17
931,3,8
932,2,11
933,3,7
934,4,16
935,3,5
936,3,7
937,2,13
938,2,17
939,5,11
940,4,13
941,1,8
942,2,11
943,1,13
944,0,6
945,2,9
946,3,14
947,0,14
948,3,16
949,3,10
950,1,10
951,3,12
952,3,8
953,3,6
954,1,11
955,2,13
956,3,10
957,0,8
958,3,12
959,5,12
960,2,13
961,4,10
962,5,6
963,1,11
964,5,16
965,3,13
966,2,14
967,4,6
968,3,16
969,1,12
970,4,11
971,1,11
972,3,10
973,3,11
974,4,8
975,3,9
976,4,5
977,2,13
978,2,14
979,4,10
980,4,11
981,3,10
982,3,13
983,5,12
984,3,15
985,5,6
986,1,8
987,1,18
988,3,7
989,4,13
990,2,5
991,2,10
992,5,10
993,2,13
994,5,18
995,2,7
996,1,12
997,5,11
998,2,18
999,1,9
